id,name_key,rarity,max_hp,attack_range,base_damage,attack_cooldown_sec,skill_id,unlock_stage,tags,design_notes
ID,名称文本键,稀有度,最大生命值,攻击范围,基础伤害,攻击冷却（秒）,技能ID,解锁阶段,标签,设计备注
,,,,,,,,,,
defense_watch_tower,defense_watch_tower_name,common,5,2.0,1,1.5,defense_basic,stage_tutorial_01,tower|single_target|rabbit,品质2基础塔；属性为效果后最终值
defense_longshot_tower,defense_longshot_tower_name,rare,5,3.5,1,1.5,defense_far_sight,stage_field_01,tower|ranged_priority|falcon,品质3远射塔；优先攻击远程
defense_cannon_tower,defense_cannon_tower_name,rare,6,2.0,2,1.5,defense_heavy_bolt,stage_field_01,tower|heavy_bolt|boar,品质3强攻塔；攻击2为最终值
defense_plunder_tower,defense_plunder_tower_name,rare,7,2.0,1,1.5,defense_plunder,stage_field_01,tower|economy|squirrel,品质3掠金塔；攻击时转移1金币
defense_rapid_tower,defense_rapid_tower_name,epic,6,2.0,1,0.5,defense_rapid_fire,stage_field_01,tower|rapid|sparrow,品质4速射塔；0.5秒为最终间隔
defense_repair_beacon,defense_repair_beacon_name,epic,21,2.0,1,1.5,defense_shell_bastion,stage_field_01,tower|tank|turtle,品质4壁垒塔；保留旧内部ID
defense_twinshot_tower,defense_twinshot_tower_name,epic,10,3.0,1,1.5,defense_twin_shot,stage_field_01,tower|multi_target|parrot,品质4双射塔；额外攻击一个敌方动物
defense_bounty_tower,defense_bounty_tower_name,legendary,12,2.0,3,1.5,defense_bounty,stage_field_01,tower|bounty|tiger,品质5赏金塔；实际击杀动物奖励10金币
defense_territory_tower,defense_territory_tower_name,legendary,12,2.0,1,1.5,defense_territory,stage_field_01,tower|territory|golden_eagle,品质5领空塔；我方领地内任意距离攻击动物
defense_storm_obelisk,defense_storm_obelisk_name,legendary,12,2.0,1,5.0,defense_global_pulse,stage_field_01,tower|global_pulse|mammoth,品质5震地塔；保留旧内部ID并以全体脉冲替代普攻
