key,type,value,description
键,类型,值,描述
,,,
game_name,string,战城大师,项目显示名
config_version,int,1,配置表版本
target_fps,int,60,目标帧率
starting_gold,int,120,新账号初始金币
starting_energy,int,30,新账号初始体力
default_stage_time_sec,int,180,默认关卡时长
max_party_size,int,3,默认出战单位上限
camera_follow_smoothing,float,0.12,相机跟随平滑系数
enable_debug_menu,bool,true,开发期调试菜单开关
classic_win_reward_tickets,int,3,主线战斗胜利抽卡券奖励
classic_loss_reward_tickets,int,1,主线战斗失败抽卡券奖励
classic_reward_gold_min_multiplier,int,3,主线金币奖励为抽卡券数量的最小倍数
classic_reward_gold_max_multiplier,int,5,主线金币奖励为抽卡券数量的最大倍数
