id,building_type,ring,art_path,width,height,crop_left,crop_top,crop_width,crop_height
ID,建筑类型,固定圈数,美术路径,可见宽度,可见高度,有效图像左边,有效图像顶部,有效图像宽度,有效图像高度
,,,,,,,,,
castle,castle,0,res://assets/art/home/v2/castle.png,164,158,0.073365,0.114035,0.853270,0.743222
residence_01,residence,1,res://assets/art/home/v2/residence_01.png,119,111,0.114035,0.142743,0.771930,0.720893
residence_02,residence,2,res://assets/art/home/v2/residence_02.png,142,106,0.054226,0.180223,0.892344,0.667464
residence_03,residence,3,res://assets/art/home/v2/residence_03.png,104,134,0.161085,0.061404,0.677033,0.874801
residence_04,residence,4,res://assets/art/home/v2/residence_04.png,144,113,0.053429,0.122807,0.922648,0.725678
residence_05,residence,5,res://assets/art/home/v2/residence_05.png,153,102,0.022329,0.186603,0.955343,0.637161
residence_06,residence,6,res://assets/art/home/v2/residence_06.png,153,131,0.066188,0.137959,0.867624,0.744019
residence_07,residence,7,res://assets/art/home/v2/residence_07.png,171,107,0.029506,0.197767,0.940989,0.588517
residence_08,residence,8,res://assets/art/home/v2/residence_08.png,185,111,0.054036,0.102539,0.891927,0.803711
dining_01,dining,1,res://assets/art/home/v2/dining_01.png,119,111,0.102871,0.131579,0.791866,0.736842
dining_02,dining,2,res://assets/art/home/v2/dining_02.png,140,106,0.075758,0.174641,0.860447,0.653110
dining_03,dining,3,res://assets/art/home/v2/dining_03.png,118,119,0.120415,0.127592,0.759171,0.760766
dining_04,dining,4,res://assets/art/home/v2/dining_04.png,163,98,0.072917,0.098633,0.863932,0.779297
dining_05,dining,5,res://assets/art/home/v2/dining_05.png,149,113,0.035885,0.137959,0.928230,0.704944
dining_06,dining,6,res://assets/art/home/v2/dining_06.png,126,124,0.118022,0.119617,0.763955,0.754386
dining_07,dining,7,res://assets/art/home/v2/dining_07.png,166,120,0.060650,0.101232,0.875812,0.770246
dining_08,dining,8,res://assets/art/home/v2/dining_08.png,150,124,0.051416,0.066553,0.896423,0.843003
entertainment_01,entertainment,1,res://assets/art/home/v2/entertainment_01.png,119,92,0.101276,0.194577,0.797448,0.616427
entertainment_02,entertainment,2,res://assets/art/home/v2/entertainment_02.png,121,117,0.095694,0.102073,0.807815,0.782297
entertainment_03,entertainment,3,res://assets/art/home/v2/entertainment_03.png,133,105,0.065391,0.131579,0.868421,0.683413
entertainment_04,entertainment,4,res://assets/art/home/v2/entertainment_04.png,138,106,0.088517,0.175439,0.842903,0.645136
entertainment_05,entertainment,5,res://assets/art/home/v2/entertainment_05.png,154,115,0.073365,0.175439,0.854067,0.633971
entertainment_06,entertainment,6,res://assets/art/home/v2/entertainment_06.png,144,117,0.062201,0.141946,0.875598,0.708931
entertainment_07,entertainment,7,res://assets/art/home/v2/entertainment_07.png,131,126,0.114035,0.089314,0.771930,0.744817
entertainment_08,entertainment,8,res://assets/art/home/v2/entertainment_08.png,158,118,0.038278,0.153907,0.924242,0.692185
sport_01,sport,1,res://assets/art/home/v2/sport_01.png,126,107,0.093301,0.159490,0.815789,0.688198
sport_02,sport,2,res://assets/art/home/v2/sport_02.png,113,106,0.137959,0.171451,0.723285,0.677033
sport_03,sport,3,res://assets/art/home/v2/sport_03.png,128,115,0.094896,0.141148,0.806220,0.720893
sport_04,sport,4,res://assets/art/home/v2/sport_04.png,131,122,0.070973,0.083732,0.864434,0.803828
sport_05,sport,5,res://assets/art/home/v2/sport_05.png,168,99,0.035088,0.251994,0.929027,0.545455
sport_06,sport,6,res://assets/art/home/v2/sport_06.png,133,124,0.073365,0.091707,0.852472,0.793461
sport_07,sport,7,res://assets/art/home/v2/sport_07.png,144,106,0.047847,0.147528,0.903509,0.665072
sport_08,sport,8,res://assets/art/home/v2/sport_08.png,158,130,0.019936,0.103668,0.960128,0.791866
