card_id,width,height,sha256_before,sha256_after,removed_pixels,removed_alpha64_pixels,bottom_padding_before,bottom_padding_after,changed
mouse,480,480,cfe79c829a2b9f707c7e4ce5387bea12dabe8131b3b7e1baeee1bc001d3873f5,cfe79c829a2b9f707c7e4ce5387bea12dabe8131b3b7e1baeee1bc001d3873f5,0,0,112,112,no
ant,480,480,d489af6743cd14df6536519223f79270eebb628245cdb9fa331fe88e2e9ef319,d489af6743cd14df6536519223f79270eebb628245cdb9fa331fe88e2e9ef319,0,0,112,112,no
sparrow,480,480,7f1b48d235ff249be2d3befd3deeb23ad1f2fdb9645d01bbff28189260b16e39,7f1b48d235ff249be2d3befd3deeb23ad1f2fdb9645d01bbff28189260b16e39,0,0,137,137,no
frog,480,480,af4e1a44e00c1477865795544bcfde4ea9fca256b1d88f9ea0f45cefe167cf6b,af4e1a44e00c1477865795544bcfde4ea9fca256b1d88f9ea0f45cefe167cf6b,0,0,134,134,no
rabbit,480,480,1ebc2dee3f29b6e41465720aeb1ff565bbfa155cd08de93b83aeef3b68b5a11c,1ebc2dee3f29b6e41465720aeb1ff565bbfa155cd08de93b83aeef3b68b5a11c,0,0,106,106,no
chicken,480,480,01af1728483d11eb05cdb555713de7025dec5e60bfca4e1cf6c6e5764e6e49bd,bdcd6388b0c21ebcb2565ea930cb008f3affeddd704d882e2a2c29fa626853f5,608,0,81,91,yes
pigeon,480,480,9a491fdc22246e321d0dd00abf454e96f2ca64cc4211f0c9a65952cef18b7b93,092792157eaeb84d5cf1e39466e1051acb668994bc36dd2ad53a6fe0d005626b,8,0,145,147,yes
hamster,480,480,c58f85bbd6adfb39110c6f102428b9d7aa930ef72a1b5b376af5f2f91fc9a42a,c58f85bbd6adfb39110c6f102428b9d7aa930ef72a1b5b376af5f2f91fc9a42a,0,0,119,119,no
snail,480,480,4b973f2a16fa7583125a437aa7cf6479ccec4277a706eadfd0f7a572fa2d13ff,4b973f2a16fa7583125a437aa7cf6479ccec4277a706eadfd0f7a572fa2d13ff,0,0,138,138,no
tadpole,480,480,b8f1cc8f11dd432fa2dba53b8e93210330e70d95c2acbe503d205c98d80ac9cc,b3d7cc94b841abeaee347a195da0a55af4e637931b10903581ff419ae68a7eee,419,0,136,136,yes
cat,480,480,5d7899d0b3bba633547b3939b7c7e5aac2c82406c99bc49bced4e2376a697c91,5d7899d0b3bba633547b3939b7c7e5aac2c82406c99bc49bced4e2376a697c91,0,0,98,98,no
