card_id,card_name_zh,source_file,target_path,sha256,status,notes
mouse,老鼠,老鼠.png,res://assets/card_art/animals/mouse.png,cfe79c829a2b9f707c7e4ce5387bea12dabe8131b3b7e1baeee1bc001d3873f5,integrated,producer supplied 2026-08-11
ant,蚂蚁,蚂蚁.png,res://assets/card_art/animals/ant.png,d489af6743cd14df6536519223f79270eebb628245cdb9fa331fe88e2e9ef319,integrated,producer supplied 2026-08-11
sparrow,麻雀,麻雀.png,res://assets/card_art/animals/sparrow.png,7f1b48d235ff249be2d3befd3deeb23ad1f2fdb9645d01bbff28189260b16e39,integrated,producer supplied 2026-08-11
frog,青蛙,青蛙.png,res://assets/card_art/animals/frog.png,af4e1a44e00c1477865795544bcfde4ea9fca256b1d88f9ea0f45cefe167cf6b,integrated,producer supplied 2026-08-11
rabbit,兔子,兔子.png,res://assets/card_art/animals/rabbit.png,1ebc2dee3f29b6e41465720aeb1ff565bbfa155cd08de93b83aeef3b68b5a11c,integrated,representative runtime slice
chicken,鸡,鸡.png,res://assets/card_art/animals/chicken.png,bdcd6388b0c21ebcb2565ea930cb008f3affeddd704d882e2a2c29fa626853f5,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
pigeon,鸽子,鸽子.png,res://assets/card_art/animals/pigeon.png,092792157eaeb84d5cf1e39466e1051acb668994bc36dd2ad53a6fe0d005626b,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
hamster,仓鼠,仓鼠.png,res://assets/card_art/animals/hamster.png,c58f85bbd6adfb39110c6f102428b9d7aa930ef72a1b5b376af5f2f91fc9a42a,integrated,producer supplied 2026-08-11
snail,蜗牛,蜗牛.png,res://assets/card_art/animals/snail.png,4b973f2a16fa7583125a437aa7cf6479ccec4277a706eadfd0f7a572fa2d13ff,integrated,producer supplied 2026-08-11
tadpole,蝌蚪,蝌蚪.png,res://assets/card_art/animals/tadpole.png,b3d7cc94b841abeaee347a195da0a55af4e637931b10903581ff419ae68a7eee,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
cat,猫,猫.png,res://assets/card_art/animals/cat.png,5d7899d0b3bba633547b3939b7c7e5aac2c82406c99bc49bced4e2376a697c91,integrated,producer supplied 2026-08-11
dog,狗,狗.png,res://assets/card_art/animals/dog.png,0427a119a6a1d45e48b44b468878ad02208a2669462563696f02db21052bf8f8,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
duck,鸭,鸭.png,res://assets/card_art/animals/duck.png,74febe8569d95afebbfebf93e2e9b8e2dfcba353f945e8aac4907de7be164853,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
squirrel,松鼠,松鼠.png,res://assets/card_art/animals/squirrel.png,fdf8a4a95ff170331f3a90d2832ce9bcc601f56069e73097147ac8b14d2114ce,integrated,producer supplied 2026-08-11
hedgehog,刺猬,刺猬.png,res://assets/card_art/animals/hedgehog.png,8ff989e5c723e53a44a6c3d562f2066c0df37a6f5799ffc479af6f930178979e,integrated,producer supplied 2026-08-11
turtle,乌龟,乌龟.png,res://assets/card_art/animals/turtle.png,c8616079b65d85e226cd442aed13fcb398e80a1573b2f31c3d8a28f9935b1d03,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
goat,山羊,山羊.png,res://assets/card_art/animals/goat.png,d774b5946225662d7fb63e88e6519e9ea4cb0ed9b62bb23f95b087fb9c963cc9,integrated,producer supplied 2026-08-11
sheep,羊,羊.png,res://assets/card_art/animals/sheep.png,12ad2686d37a0f3ad658482ff1a0086c1c6dceeb2842ccbf374c6f66829f91d4,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
parrot,鹦鹉,鹦鹉.png,res://assets/card_art/animals/parrot.png,7ec7b09a151fbdb2b2e00b973a08b79b58785180fcab7af88207890e7469f53e,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
fox,狐狸,狐狸.png,res://assets/card_art/animals/fox.png,310fbed36f970caabd796cadfdb29d69ae92772e57e7cbf257c345f1cf5a5ef7,integrated,producer supplied 2026-08-11
monkey,猴子,猴子.png,res://assets/card_art/animals/monkey.png,24850ab146bae132072b3ede416090e1882ac7d848346ebb6b353d54d5c3bc40,integrated,producer supplied 2026-08-11
pig,猪,猪.png,res://assets/card_art/animals/pig.png,86a72c0f453586f6c86dd51d1e4cc236d4a9e7b86a3bb6aeb0acab9a654b96f2,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
deer,鹿,鹿.png,res://assets/card_art/animals/deer.png,63e9df5884a2d8d8d53443306bfb8b973db06bc8f6d89e52a4254a2ab02446b2,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
beaver,河狸,河狸.png,res://assets/card_art/animals/beaver.png,ef550972f0bce1721919d9bd665b51124987404e9b5dae50c1817f833a83d4cf,integrated,producer supplied 2026-08-11
otter,水獭,水獭.png,res://assets/card_art/animals/otter.png,0324c9025331e5853ebac08ca654ce85de4e6a8555e0ab792aeadc61e272f7e4,integrated,producer supplied 2026-08-11
penguin,企鹅,企鹅.png,res://assets/card_art/animals/penguin.png,327e9a2bf0cc3c58dd2c4ef0cb8a9725539a98d82aca5428a083a70e8125881d,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
peacock,孔雀,孔雀.png,res://assets/card_art/animals/peacock.png,880fada7318bc54977691c2bbf0e73ed486fd9891ae5fa7ed0d4cc741e549da1,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
kangaroo,袋鼠,袋鼠.png,res://assets/card_art/animals/kangaroo.png,70f6ceb2c5b386257c31f95eddd3f73f62ee5906b93e1704d3f80ff7b38d2176,integrated,producer supplied 2026-08-11
seal,海豹,海豹.png,res://assets/card_art/animals/seal.png,6cf14ae42ec68f3146f09ed2721c6cbb4b9d50622b682fd21e94509aca41f254,integrated,wide silhouette scale-out sample; deterministic low-alpha canvas cleanup 2026-08-11
swan,天鹅,天鹅（章鱼）.png,res://assets/card_art/animals/swan.png,52b0da2a96dfa4a63b28a4482da6512de408b649a73d722db3a3ca9657ee0dd6,integrated,producer filename maps octopus artwork to existing swan slot; card identity unchanged
wolf,狼,狼.png,res://assets/card_art/animals/wolf.png,493bcaa18aa72c2e3de0097c599e3669fa82749e4366852eb40ed0c34a4737f5,integrated,producer supplied 2026-08-11
horse,马,马.png,res://assets/card_art/animals/horse.png,3c35ccdce82c02b34c4f4f118ede203ee226c7c23668674443dc37b0dbad01b1,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
cow,牛,牛.png,res://assets/card_art/animals/cow.png,6f86ffc105ddf3c5b4826a9ceaa9dd157f9d371c400a8684641d1522330e782b,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
zebra,斑马,斑马.png,res://assets/card_art/animals/zebra.png,9c414c012a5d425dec231335331a4f1c78a16f3ec5fa2709069ec2df651847d7,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
camel,骆驼,骆驼.png,res://assets/card_art/animals/camel.png,d1435d0ba651387f7e74eb52e3b46ab133982ed26f138e633157d93ac13e6c63,integrated,producer supplied 2026-08-11
dolphin,海豚,海豚.png,res://assets/card_art/animals/dolphin.png,0a80704e833cd8f076df9305942e108bc7e2743754d96d8ad43bd0a4794f541c,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
falcon,猎鹰,猎鹰.png,res://assets/card_art/animals/falcon.png,b96bef7c75938bb5ef5aed62493d16822b1cafc78bb2a8fa2105e785472243d2,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
boar,野猪,野猪.png,res://assets/card_art/animals/boar.png,979823c9931172e84cc2e0dc195e63c7d40091dc2341c6502b627fa59f8d8093,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
crane,鹤,鹤（鹅）.png,res://assets/card_art/animals/crane.png,0f5c02aa6dba437c723edccb2537298205920199915197b99a8de49987464b88,integrated,producer filename maps goose artwork to existing crane slot; card identity unchanged
lynx,猞猁,猞猁.png,res://assets/card_art/animals/lynx.png,2b44a431274b62aee464208254e6b65f63c7701aff1b1e54bc49d4a7e3d16f1f,integrated,producer supplied 2026-08-11; deterministic low-alpha canvas cleanup 2026-08-11
